@relation 'spoken_letters_617_attributes-weka.filters.unsupervised.attribute.Remove-V-R1,11,14,17,22,30,41,45,48,52,68,70,101,106,107,118,132,138,144,148,165,169,171,172,173,174,181,182,184,189,199,201,204,212,213,225,228,231,234,235,238,254,257,259,261,297,298,321,322,323,326,330,337,345,351,354,358,359,363,386,390,392,395,397,411,414,415,416,418,420,422,427,429,430,431,433,436,438,439,451,453,455,458,460,461,462,473,474,480,481,488,489,494,515,516,520,525,541,547,548,553,554,557,573,574,575,578,579,580,581,582,583,584,618'

@attribute f1 numeric
@attribute f11 numeric
@attribute f14 numeric
@attribute f17 numeric
@attribute f22 numeric
@attribute f30 numeric
@attribute f41 numeric
@attribute f45 numeric
@attribute f48 numeric
@attribute f52 numeric
@attribute f68 numeric
@attribute f70 numeric
@attribute f101 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f118 numeric
@attribute f132 numeric
@attribute f138 numeric
@attribute f144 numeric
@attribute f148 numeric
@attribute f165 numeric
@attribute f169 numeric
@attribute f171 numeric
@attribute f172 numeric
@attribute f173 numeric
@attribute f174 numeric
@attribute f181 numeric
@attribute f182 numeric
@attribute f184 numeric
@attribute f189 numeric
@attribute f199 numeric
@attribute f201 numeric
@attribute f204 numeric
@attribute f212 numeric
@attribute f213 numeric
@attribute f225 numeric
@attribute f228 numeric
@attribute f231 numeric
@attribute f234 numeric
@attribute f235 numeric
@attribute f238 numeric
@attribute f254 numeric
@attribute f257 numeric
@attribute f259 numeric
@attribute f261 numeric
@attribute f297 numeric
@attribute f298 numeric
@attribute f321 numeric
@attribute f322 numeric
@attribute f323 numeric
@attribute f326 numeric
@attribute f330 numeric
@attribute f337 numeric
@attribute f345 numeric
@attribute f351 numeric
@attribute f354 numeric
@attribute f358 numeric
@attribute f359 numeric
@attribute f363 numeric
@attribute f386 numeric
@attribute f390 numeric
@attribute f392 numeric
@attribute f395 numeric
@attribute f397 numeric
@attribute f411 numeric
@attribute f414 numeric
@attribute f415 numeric
@attribute f416 numeric
@attribute f418 numeric
@attribute f420 numeric
@attribute f422 numeric
@attribute f427 numeric
@attribute f429 numeric
@attribute f430 numeric
@attribute f431 numeric
@attribute f433 numeric
@attribute f436 numeric
@attribute f438 numeric
@attribute f439 numeric
@attribute f451 numeric
@attribute f453 numeric
@attribute f455 numeric
@attribute f458 numeric
@attribute f460 numeric
@attribute f461 numeric
@attribute f462 numeric
@attribute f473 numeric
@attribute f474 numeric
@attribute f480 numeric
@attribute f481 numeric
@attribute f488 numeric
@attribute f489 numeric
@attribute f494 numeric
@attribute f515 numeric
@attribute f516 numeric
@attribute f520 numeric
@attribute f525 numeric
@attribute f541 numeric
@attribute f547 numeric
@attribute f548 numeric
@attribute f553 numeric
@attribute f554 numeric
@attribute f557 numeric
@attribute f573 numeric
@attribute f574 numeric
@attribute f575 numeric
@attribute f578 numeric
@attribute f579 numeric
@attribute f580 numeric
@attribute f581 numeric
@attribute f582 numeric
@attribute f583 numeric
@attribute f584 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
-0.2396,-0.0082,0.1272,0.4612,0.8116,0.3984,-0.2226,-0.1322,0.0678,0.9678,0.8164,-0.0264,-0.0584,-0.438,-0.5146,1,0.4808,-0.7842,-0.6088,0.287,0.102,-0.5528,-0.5778,-0.6244,-0.5742,-0.6064,0.4562,0.7066,0.8246,0.145,-0.4768,-0.7548,-0.6186,-0.3134,0.1498,-0.2632,0.6316,0.2632,0.0526,-0.1052,0.2106,0.2632,-0.3478,0.3914,0.6956,-0.2666,-0.5556,-0.9748,-0.9648,-0.9672,-0.9672,-0.9422,0.546,-0.9296,-1,-0.961,-0.7428,-0.7384,-0.722,-1,1,1,0.85,0.2232,-0.5534,-0.9468,-1,-1,-1,0.6572,1,-0.8,0.3714,1,1,-0.8,-0.9142,-0.4286,-0.5714,-1,0.4906,0.4766,0.5076,0.4984,0.4388,0.205,-0.5334,-0.0118,0.4666,-0.5798,-0.1212,-0.0924,0.3302,-0.3214,-0.158,-0.1114,0.2302,0.8854,-0.2538,-0.137,0.1802,0.0812,0.2614,0.7614,0.7818,0.8984,-1,1,-1,-1,-1,-0.2,1,3
-0.139,-0.0342,0.098,0.517,0.713,0.353,-0.2456,-0.1606,0.292,0.9652,0.9402,0.1816,0.7442,-0.2832,-0.3972,0.968,0.8086,-0.6508,-0.402,0.579,0.0728,-0.601,-0.5688,-0.6928,-0.752,-0.7412,0.6172,0.9622,0.8222,0.3424,-0.2814,-0.5458,-0.7084,0.0238,0.3084,-0.0526,0.6842,0.3684,0,0.1052,0.1578,0.3684,-0.2174,0.5218,0.826,-0.4444,-0.9166,-0.9642,-0.9656,-0.956,-0.9724,-0.956,0.1874,-0.836,-0.9614,-0.8638,-0.5512,-0.7134,-0.4058,-1,1,1,1,0.9866,-0.6868,-0.5934,-0.61,-0.7534,-1,1,-0.7428,-0.9428,-0.7428,1,1,-0.5714,-0.8,-0.6572,0.4572,-1,0.4786,0.487,0.4958,0.4778,0.3872,0.183,-0.7334,-0.2118,0.2666,-0.5448,-0.0878,0.0224,0.3266,-0.264,-0.2132,-0.0918,0.2032,0.9476,-0.4234,-0.3252,-0.0376,-0.0044,0.1254,0.8036,0.8352,0.9772,-1,1,-1,-1,-1,1,1,3
-0.1794,-0.2718,-0.2896,0.0054,0.794,0.4316,-0.304,-0.4764,-0.0878,0.7162,0.7202,-0.4022,0.0212,-0.4504,-0.5744,0.9574,0.7436,-0.4632,-0.2616,0.5898,-0.2966,-0.5452,-0.6802,-0.6376,-0.7406,-0.7372,0.936,1,0.7904,0.2326,-0.413,-0.5342,-0.5616,0.041,0.7182,-0.1666,0.8334,-0.2778,-0.3334,-0.2778,-0.2778,0,-0.087,0.5652,0.4348,-0.1954,-0.3564,-1,-1,-1,-1,-0.9098,0.1956,-0.914,-1,-1,-1,-1,-0.6616,-1,-1,-1,-0.9334,0.1266,-0.6908,-0.9308,-1,-1,-1,-1,-1,-0.3714,1,1,1,-0.8,-0.9428,-0.9428,-0.9142,-1,-0.0224,0.0482,0.1194,0.113,0.0258,-0.0422,-0.5866,0.047,1,-0.282,0.2564,0.3462,0.8974,0.1286,-0.1286,0.0714,0.9142,0.7142,0.6172,0.037,0.3086,0.7778,0.7408,0.2962,0.1112,0.3334,-1,-1,1,-0.6,-1,0.2,-0.7,4
-0.2196,-0.5332,-0.216,0.46,0.5784,0.554,-0.3454,-0.1652,-0.066,0.8408,0.6156,-0.325,0.405,-0.3896,-0.276,1,0.5756,-0.633,-0.4136,0.5252,-0.4322,-0.6556,-0.7142,-0.619,-0.6886,-0.8132,0.6008,0.9084,0.8022,0.2308,-0.4894,-0.8204,-0.74,-0.2056,0.4042,0.0434,0.6522,-0.1304,-0.1304,-0.5218,-0.0434,0.6086,-0.3488,0.3488,0.4418,-0.796,-0.5306,-1,-1,-1,-1,-0.9322,0.6074,-0.9304,-1,-1,-1,-1,-0.9138,-1,-1,-1,-0.7934,0.2432,-0.2952,-0.7586,-0.8586,-0.8886,-1,-1,-1,-0.6,1,1,1,-0.9428,-0.8,-1,-0.6858,-1,0.0966,0.1198,0.2254,0.2472,0.2198,0.043,-0.6934,-0.0352,1,-0.7722,0.0632,0.519,0.924,0.055,0.1208,-0.033,0.6704,0.6704,0.1328,-0.1188,0.2308,0.5384,0.5804,0.7482,0.6644,0.4826,-1,-1,1,-1,-1,0,-0.7666,4
-0.3136,-0.4704,-0.4006,-0.014,1,0.3728,-0.4344,-0.3744,-0.1628,0.4818,0.5174,-0.2928,0.1276,-0.4826,-0.476,0.8276,0.6228,-0.9788,-0.7162,0.017,-0.2248,-0.7946,-0.7132,-0.752,-0.7752,-0.8876,0.1628,0.5736,1,0.1396,-0.444,-0.5414,-0.7024,-0.1464,0.2,-0.1628,0.2558,-0.3024,-0.3954,-0.3954,-0.4884,0.5814,-0.36,0.12,0.36,-0.6,-0.9294,-1,-1,-1,-1,-0.9614,0.7586,-0.9362,-1,-1,-1,-1,-0.961,-1,-1,-1,-0.89,-0.6734,-0.2134,-0.8268,-0.8734,-1,-1,-1,-1,-1,1,1,1,-0.8858,-0.7714,-0.6286,-0.9428,-1,0.0808,0.1566,0.2152,0.2426,0.1944,-0.0166,-0.6666,-0.0706,0.275,-0.55,-0.35,0.025,0.9,0.2,0.0476,-0.1238,0.6572,-0.2762,0.1168,-0.1428,0.013,0.2468,1,-0.2208,-0.2728,-0.1428,-1,-1,1,-0.8,-1,-0.2,-0.8,5
-0.2862,-0.4546,-0.4436,-0.129,0.9702,0.517,-0.3618,-0.6064,-0.1956,0.3814,0.4636,-0.2552,0.182,-0.4256,-0.4026,0.741,0.352,-0.8092,-0.8008,-0.1276,-0.0778,-0.5724,-0.7668,-0.7526,-0.8764,-0.8516,-0.0176,0.3356,0.9116,0.1838,-0.1848,-0.2962,-0.5696,-0.6102,-0.2456,-0.3846,0.5384,-0.1924,-0.5,-0.4616,-0.4616,0.4616,-0.32,0.28,0.48,-0.3186,-0.5824,-1,-1,-1,-1,-0.9564,0.621,-0.9424,-1,-1,-1,-1,-0.9598,-1,-1,-1,-0.9134,-0.7068,-0.77,-0.9868,-0.9534,-1,-1,-1,-1,-1,1,1,1,-0.8286,-0.9714,-0.4572,-0.4286,-1,0.228,0.2258,0.2708,0.2928,0.2032,0.1086,-0.6534,0.153,0.8334,-0.0944,0.1698,0.2076,1,0.3024,-0.0232,-0.186,1,-0.2326,0.6262,-0.0842,0.0654,0.2524,1,-0.3458,-0.215,-0.215,-1,-1,1,-1,-1,-1,-0.8334,5
-0.4164,0.0456,0.149,0.6474,0.7082,0.2098,0.1544,0.4364,0.832,0.794,0.417,0.8718,0.3516,0.6814,0.423,0.9066,0.1622,0.5812,0.6402,0.6224,0.809,0.7492,0.8208,0.8268,0.8866,0.8746,0.5522,0.6538,0.1522,-0.1344,1,0.5144,0.587,0.5508,0.6522,-0.5714,0.2858,0.4286,0.0476,-0.1428,-0.1428,0.0952,-0.4546,0.2728,0.6364,0.7362,0.3846,-1,-1,-1,-1,-0.9366,0.9346,-0.9266,-0.9544,-1,-1,-1,-0.9636,-0.8902,-1,-1,-0.82,-0.7534,0.3266,0.2232,0.1866,0.0566,-0.0568,-1,-1,-1,0.9142,1,1,-0.9428,-0.9142,-0.5714,0.0572,-0.9428,1,1,1,1,1,1,-0.5866,-0.4706,1,-0.1428,0.551,0.8368,0.4286,0.5268,0.3118,0.2688,0.4408,-0.5484,0.7608,0.6086,0.6522,0.6304,0.7826,-0.413,-0.4782,-0.6956,-1,-1,1,-1,-1,-1,-0.8334,6
-0.4758,0.1112,0.2592,0.7038,0.869,0.3846,0.2672,0.3908,0.7218,0.8454,0.4126,0.7488,0.666,0.4708,0.6356,0.8612,0.2526,0.7876,0.809,0.7792,0.4928,0.8116,0.7054,0.9758,0.9468,0.7392,0.7004,0.6328,0.4348,0.0628,0.7988,0.8334,0.6724,0.4138,0.4138,-0.4838,0.4838,0.3548,0.0968,0.0322,0.1612,0.4838,-0.4814,0.1482,0.963,0.7052,0.7684,-1,-1,-1,-1,-0.9738,0.8298,-0.944,-0.969,-1,-1,-1,-0.986,-0.9188,-1,-1,-0.9268,-0.6268,0.1632,0.1832,0.24,0.33,0.4266,-1,-1,-0.7428,-0.6858,1,1,-0.4286,-0.8,-0.5142,0.1714,-0.9142,1,1,1,1,1,1,-0.7066,-0.4236,1,-0.35,0.225,0.475,0.85,0.35,0.45,0.225,0.875,0.275,0.6136,0.5454,0.2954,0.3636,0.5,0.159,0.1136,0.3182,-1,-1,1,-1,-1,-0.8,-0.7666,6
-0.2122,-0.306,-0.1576,0.2546,0.7758,0.691,-0.3742,-0.037,0.2234,0.926,0.601,-0.0066,0.0846,-0.8216,-0.7414,1,0.4022,-0.8276,-0.5938,0.1532,0.0964,-0.3166,-0.8212,-0.6698,-0.6834,-0.7706,0.1376,0.6056,0.8074,-0.078,-0.185,-0.4922,-0.5298,-0.304,-0.0282,-0.1,0.25,-0.5,-0.65,-0.45,-0.25,0.65,-0.3024,0.3024,0.1628,-0.7832,-0.8796,-1,-1,-1,-0.9652,-0.9026,0.4196,-0.9462,-1,-1,-0.9628,-0.9594,0.3036,-1,-1,-0.8806,0.6926,0.376,-0.92,-1,-1,-1,-1,-1,-1,1,-0.0572,1,1,-1,-0.8858,0.3714,-0.2858,-1,-0.0446,0.016,0.0758,0.1084,0.1584,0.1508,-0.4534,0.1058,1,-0.5914,-0.2404,0.048,1,-0.6324,-0.2998,-0.2516,0.6412,0.5448,-0.338,-0.439,0.1448,0.554,0.8988,0.4114,0.4022,0.4252,-1,-1,1,-1,-1,-1,-0.1666,7
-0.2822,-0.2986,-0.1974,0.243,0.6934,0.889,-0.3502,-0.3266,-0.0506,1,0.6662,-0.389,-0.3946,-0.5824,-0.5716,0.9858,0.375,-0.8834,-0.5166,0.65,-0.4472,-0.7068,-0.8222,-0.798,-0.8558,-0.8222,0.5866,0.851,0.7644,-0.226,0.0526,-0.2866,-0.573,-0.0058,0.4502,-0.069,0.6206,-0.0344,-0.2068,-0.1034,0.0344,0.8966,-0.1538,0.5384,0.4616,-0.4888,-0.4666,-1,-1,-1,-0.9554,-0.8742,0.4342,-0.9536,-1,-1,-0.958,-0.9572,0.4674,-1,-1,-0.9134,0.5966,0.0632,-0.8368,-1,-1,-1,-1,-1,-1,1,0.5428,1,1,-0.9714,-0.8572,-0.6286,-0.3714,-1,0.0548,0.0776,0.0562,0.0498,0.058,0.0566,-0.5334,-0.047,1,-0.4978,-0.0996,0.0866,0.935,-0.4108,-0.2532,-0.0844,0.7898,0.4522,0.0534,-0.29,0.1648,0.42,0.703,0.2854,0.0626,0.2204,-1,-1,1,-0.4,-1,-0.6,-0.1,7
-0.332,-0.0898,0.002,0.3862,0.7704,0.453,-0.0958,0.1248,0.2766,1,0.6914,0.6522,0.4964,-0.1702,-0.1846,1,0.7796,-0.4016,-0.3176,0.37,0.0172,-0.5828,-0.6686,-0.7772,-0.6058,-0.5886,0.4628,0.8686,0.7828,0.4342,-0.4254,-0.469,-0.651,-0.149,-0.0328,-0.077,0.6,0.2924,0.1692,0.077,0.077,0.6,-0.1384,0.5384,0.6924,-0.3708,-0.3932,-1,-1,-1,-1,-0.958,0.958,-0.9656,-0.9618,-1,-1,-1,-0.9646,-0.1874,-1,-1,-0.8868,-0.5768,-0.7834,0.6566,0.5666,0.67,0.87,-1,-1,-1,1,1,1,-0.8572,-0.8572,-0.2858,-0.0286,-0.0858,0.8764,0.8856,0.9022,0.9202,0.9036,0.6066,-0.6266,-0.3764,1,-0.2156,0.2942,0.804,0.9216,0.6364,0.2232,0.2562,0.8842,-0.2728,0.6724,0.5172,0.5518,1,0.8966,-0.4828,-0.5518,-0.5344,-1,-1,1,-0.8,-1,-1,-0.8334,8
-0.5218,-0.1782,-0.213,0.226,0.6826,0.2086,0.0354,0.1252,0.338,0.8912,0.7452,0.3846,0.138,-0.1774,-0.473,0.9754,0.6386,-0.512,-0.3374,0.1988,0.0498,-0.5748,-0.5348,-0.681,-0.5216,-0.5548,0.2492,0.7542,0.9934,0.1694,-0.4068,-0.2852,-0.3916,-0.232,0.0646,-0.6,0.64,0.16,-0.24,-0.2,-0.12,0.24,-0.577,0.4616,0.4616,-0.5264,-0.2632,-1,-1,-1,-1,-0.9756,0.503,-0.9662,-0.9472,-1,-1,-1,-0.9682,-0.1456,-1,-1,-0.9368,-0.6834,-0.8868,0.7766,0.56,0.5966,0.5932,-1,-1,-1,1,1,1,-0.8,-0.8286,0.2,-0.5142,-0.7428,0.884,0.8708,0.86,0.865,0.8122,0.5052,-0.5734,-0.3764,1,0.0196,0.5294,0.647,0.9608,0.5372,0.3058,0.2396,1,-0.3058,0.7252,0.252,0.4352,0.939,0.832,-0.2824,-0.5268,-0.5114,-1,-1,1,-1,-1,-1,-0.8334,8
-0.4274,0.8758,0.5346,0.2046,0.5572,0.3596,1,0.795,0.5418,0.4936,0.104,0.3788,0.2424,0.532,0.9164,0.6964,0.1682,0.5238,0.892,0.6254,0.4932,0.3656,0.2656,0.2104,0.3966,0.5758,0.8896,0.9656,0.738,0.4242,0.489,-0.097,-0.414,0.8502,0.8722,-0.409,0.2728,1,0.7728,1,0.5454,0.3182,-0.4694,0.0612,0.3878,0.6956,0.413,-1,-1,-1,-1,-0.9422,0.5352,-0.8514,-1,-1,-1,-1,-0.9866,-1,-1,-1,-0.88,-0.59,-0.7068,-0.7034,-0.8234,-0.9134,-1,-1,-1,-1,1,1,1,-0.9142,-0.8572,-0.2,-0.9142,-1,1,1,1,1,1,1,-0.5734,0.0942,1,-0.3044,0.7392,0.6522,0.8696,0.3334,0.6482,0.574,0.574,0.0186,0.5814,1,0.1162,0.372,0.5348,-0.2558,-0.4186,-0.5582,-1,-1,1,-1,-1,-0.2,-0.8334,9
-0.4708,0.9618,0.8274,0.4618,0.5672,0.4844,0.9874,0.8308,0.4038,0.5518,0.0988,0.6528,0.2854,0.7518,0.8138,0.66,0.1554,0.6016,0.9576,0.9322,0.4598,0.3666,0.1254,-0.0032,0.2604,0.2926,0.8232,0.82,0.582,0.0192,0.3156,0.0444,-0.6222,0.8222,0.9734,-0.4074,0.3334,0.8518,1,1,0.8148,0.5186,-0.5294,0.1764,0.255,0.8096,0.5952,-1,-1,-1,-1,-0.9612,0.4918,-1,-1,-1,-1,-1,-0.9894,-1,-1,-1,-0.96,-0.82,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-0.7428,-0.2572,-1,1,1,1,1,1,1,-0.5066,0.2942,1,-0.2,0.9,0.95,0.7,0.5084,0.8984,0.9152,0.7796,0.1356,0.6596,0.8936,0.5106,0.4468,0.4256,-0.1276,-0.149,-0.1914,-1,-1,1,-1,-1,-0.8,-0.8334,9
-0.3396,-0.026,0.1732,0.82,0.91,0.7926,0.1682,0.2716,0.6202,0.839,0.4966,0.6598,0.6706,-0.247,-0.2336,0.869,0.7282,-0.5018,-0.0384,1,0.2916,-0.3596,-0.5348,-0.5098,-0.5528,-0.4418,1,0.95,0.678,-0.1342,0.1048,-0.1562,-0.4686,0.4778,1,-0.35,0.65,-0.45,-0.5,-0.35,-0.1,0.8,-0.3778,0.6,0.4666,-0.3086,-0.5802,-1,-1,-1,-0.974,-0.9252,-0.1724,-0.9562,-1,-1,-0.979,-0.9774,-0.4512,-1,-1,-0.98,0.5366,0.2232,-0.5868,-1,-1,-1,-1,-1,-1,1,0.0858,1,1,-0.9428,-0.3142,-0.7428,0.3428,-1,0.5328,0.6082,0.7374,0.8928,0.951,0.8116,-0.3866,0.2118,1,-0.4042,-0.0334,0.2124,0.7792,-0.396,-0.3108,-0.151,0.8224,0.6484,-0.0402,-0.315,0.2432,0.353,0.7886,0.704,0.3742,0.3784,-1,-1,1,-0.8,-1,-0.8,0,10
-0.3026,-0.3558,-0.1624,0.395,0.7704,0.8068,0.1278,0.2802,0.517,0.8734,0.477,0.6852,0.9614,-0.0828,-0.0884,0.848,0.9028,-0.2872,0.2372,0.9234,0.5956,-0.4354,-0.6576,-0.541,-0.5374,-0.6102,0.9928,1,0.8106,-0.2022,0.206,-0.1216,-0.2904,0.345,0.7172,0.0244,0.7074,-0.1708,-0.317,-0.2682,-0.4146,0.8536,-0.3514,0.5136,0.1352,-0.4246,-0.315,-1,-1,-1,-0.9532,-0.9368,0.9278,-0.9676,-1,-1,-0.9636,-0.9422,-0.092,-1,-0.8668,-0.5534,0.61,0.3866,-0.8268,-1,-1,-1,-1,-1,-1,1,-0.0286,1,1,-1,-0.8,0.1714,-0.1428,-1,0.2574,0.3428,0.492,0.6704,0.7688,0.6634,-0.4934,0.3882,0.3916,-0.4878,-0.1492,0.0868,0.8396,-0.4706,-0.4118,-0.051,0.7334,0.7922,-0.3838,-0.5158,0.1296,0.2714,0.8826,0.6968,0.5844,0.335,-1,-1,1,-0.8,-1,-1,-0.1334,10
-0.0766,0.2112,0.518,0.5148,0.6714,0.2614,0.4184,0.2894,0.5446,0.69,0.497,0.6796,0.688,-0.3136,-0.1472,0.795,0.807,-0.3152,-0.0096,0.9808,0.357,-0.4356,-0.544,-0.7046,-0.5476,-0.5664,0.9888,0.7458,0.701,-0.1402,-0.3398,-0.5012,-0.5794,0.7212,1,-0.2,0.6666,0.6,-0.1334,-0.5334,0,0.1334,-0.1,0.7,0.75,0.3932,-0.0112,-1,-1,-1,-0.9686,-0.9008,0.6834,-0.9638,-1,-1,-0.9516,-0.96,-0.771,-1,-1,-0.9334,0.2966,-0.11,-0.62,-1,-1,-1,-1,-1,-1,-0.2858,-0.1142,0.6,1,-0.6858,-0.8572,-0.4,-0.4,-1,0.8366,0.8896,0.951,0.9766,0.953,0.6112,-0.3866,0.2236,1,-0.5292,0.2624,0.4166,0.9916,0.1752,0.0784,0.0738,0.7512,0.6912,0.2928,0.4504,0.7388,0.8738,0.9504,0.428,0.4234,0.4414,-1,-1,1,-0.8,-1,-1,0.0334,11
-0.2834,0.1792,0.3616,0.7948,0.9088,0.671,0.399,0.4282,0.6436,0.907,0.4722,0.6834,0.491,-0.2728,-0.297,0.909,0.5788,-0.6078,-0.1898,0.9486,0.165,-0.6048,-0.78,-0.662,-0.5846,-0.7678,1,0.89,0.7068,-0.3524,0.1014,0.0318,-0.3044,0.3102,0.6174,-0.4286,0.7714,0.8286,0.1428,0.0858,-0.1428,0.4858,-0.3334,0.4222,0.6444,-0.5556,-0.6544,-1,-1,-1,-0.9332,-0.962,0.1676,-1,-1,-1,-0.9742,-0.9176,-0.912,-1,-0.9468,-0.3,0.02,-0.1568,-1,-1,-1,-1,-1,-1,-1,-0.2286,-0.3142,1,1,-0.8,-0.7714,0.0572,-0.2286,-1,0.9368,0.9546,0.985,0.9268,0.877,0.6008,-0.48,0.0706,0.55,-0.613,0.1242,0.1364,0.8656,0.1388,0.2154,-0.0048,0.732,0.555,0.0618,0.2376,0.4492,0.6846,1,0.3414,0.2694,0.1098,-1,-1,1,-0.8,-1,-0.8,0.1334,11
-0.3352,0.4808,0.6402,0.9286,0.934,0.3984,0.4196,0.5732,1,0.6984,0.3718,0.7608,0.543,0.9186,1,0.6526,0.4216,0.933,-0.157,0.0406,0.9046,0.6844,0.1926,-0.1486,-0.09,-0.4496,-0.1964,0.0276,-0.2256,-0.4716,0.8806,0.6568,-0.3208,-0.097,-0.3432,-0.4146,0.561,0.6586,0.2196,0.0244,0.4634,0.4634,-0.5,0.1538,0.7308,0.881,0.5714,-1,-1,-1,-1,-0.97,0.1506,-1,-1,-1,-1,-1,-0.9794,-1,-1,-1,-0.9534,-0.5268,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-0.7428,-0.4,-0.2,0,-1,1,1,1,1,1,1,-0.52,0.0942,1,-0.4188,0.5214,0.453,0.7436,0.3098,0.3982,0.4336,0.9824,-0.1328,0.7432,0.8348,0.945,0.8166,0.7248,0.156,-0.0458,-0.2478,-1,-1,1,-1,-1,-1,-0.8,12
-0.4094,0.1374,0.3714,1,0.7426,0.4298,0.2946,0.4634,0.9474,0.6542,0.2314,0.9566,0.6806,1,0.9758,0.4014,0.2786,0.8098,-0.1536,-0.0782,1,0.7002,-0.0846,-0.1802,-0.2216,-0.4162,-0.3174,-0.1516,0.3876,-0.228,0.922,0.5012,-0.5116,-0.3974,-0.4598,-0.5,0.4,0.25,-0.05,-0.05,0.25,0.55,-0.532,0.3192,0.8298,0.9566,0.6522,-1,-1,-1,-1,-0.9672,0.898,-1,-1,-1,-1,-1,-0.9834,-1,-1,-1,-0.84,-0.75,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-0.4858,-0.8858,-0.4286,0.7142,-1,1,1,1,1,1,1,-0.4134,0.1412,1,-0.5136,0.6756,0.8378,0.8918,0.6608,0.6428,0.5358,0.9642,0.0536,0.9208,0.802,1,1,0.8416,0.0694,0.0298,-0.0298,-1,-1,1,-1,-1,-1,-0.8334,12
-0.3596,0.1558,0.0888,0.6478,0.7846,0.1296,0.2638,0.1402,0.6044,0.7968,0.5164,0.6444,0.3256,0.8486,1,0.601,0.6854,0.9828,0.6594,0.3664,0.4536,0.3746,0.955,0.369,0.724,0.5888,-0.0592,-0.093,-0.707,-0.5492,0.1836,0.396,0.1346,-0.0776,-0.404,-0.35,0.75,0.45,0.15,0.05,0.05,0.3,-0.3334,0.5556,0.8666,0.7428,0.8572,-1,-1,-1,-1,-0.947,0.4562,-1,-1,-1,-1,-1,-0.9746,-1,-1,-1,-0.9468,-0.5634,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-0.6286,1,-0.8858,-0.9428,-1,1,1,1,1,1,0.5692,-0.52,0.153,1,-0.3104,0.3448,0.8276,0.7932,0.5478,0.4956,0.2348,0.8608,-0.0608,0.8902,0.7802,0.3626,0.8462,0.8902,-0.4066,-0.4286,-0.7802,-1,-1,1,-1,-1,-1,-0.8334,13
-0.4574,0.059,0.08,0.4128,0.8296,0.4234,0.3036,0.2308,0.6464,0.7678,0.3288,0.399,0.5916,0.5406,1,0.5034,0.839,0.931,0.4656,-0.1724,0.937,0.7134,0.6734,0.7594,0.8682,0.7994,-0.0258,0.0488,-0.3468,-0.0028,-0.0744,-0.1984,0.033,-0.595,-0.686,-0.5636,0.3818,0.2728,-0.091,-0.1636,-0.091,0.491,-0.5,0.25,0.5358,0.6616,0.5384,-1,-1,-1,-1,-0.9592,-0.0462,-1,-1,-1,-1,-1,-0.9786,-1,-1,-1,-0.8868,-0.65,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-0.8,1,-0.9428,-0.8572,-1,1,1,1,1,1,0.6286,-0.5466,0.047,1,-0.5652,0.0434,0.6086,0.8696,0.6774,0.6344,0.2258,0.914,-0.3548,0.6032,0.635,0.6984,1,0.8888,-0.2064,-0.3968,-0.3968,-1,-1,1,-1,-1,-1,-0.8334,13
-0.3976,-0.185,-0.196,0.1894,0.8074,0.5548,0.0258,-0.0146,0.1628,0.881,0.2526,0.842,0.6062,-0.0976,-0.1742,0.1394,0.836,0.0892,0.9854,0.0638,0.3794,0.0592,-0.6364,-0.3202,0.4664,0.9288,-0.0712,-0.2372,-0.3914,-0.826,0.5976,0.4406,0.0504,-0.1188,-0.0906,-0.4054,0.7298,0.1892,-0.3514,-0.3514,-0.5136,0.7838,-0.4348,0.4348,0.4782,0.2942,-0.0882,-1,-1,-1,-1,-0.9538,-0.0386,-0.9414,-0.9708,-1,-1,-1,-0.9218,-0.9748,-1,-1,-0.8706,-0.3706,-0.2868,-0.4934,-0.7134,-0.7734,-0.7868,-1,-1,-1,1,1,1,-0.7714,1,-1,-0.9142,-0.8286,0.81,0.8264,0.8776,0.9912,1,0.806,-0.4666,0.4236,1,-0.2728,0.2728,0.4728,0.9454,0.4,0.26,0.14,0.98,-0.4,0.679,0.3086,0.3456,0.5926,0.9136,-0.0618,0,-0.037,-1,-1,1,-1,-1,-0.2,-0.7666,14
